brnd_name,gnrc_name,mftr_name,tot_mftr,year,cagr_avg_spnd_per_dsg_unt_19_23,chg_avg_spnd_per_dsg_unt_22_23,tot_spndng,tot_dsg_unts,tot_clms,tot_benes,avg_spnd_per_dsg_unt_wghtd,avg_spnd_per_clm,avg_spnd_per_bene,outlier_flag,tot_spndng_log
abiraterone acetate,Abiraterone Acetate,"civicascript, l",1,2019,-0.0272329,-0.0272329,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,"civicascript, l",1,2020,-0.0272329,-0.0272329,1312670.35,306657.0,5864,2065.5,2.054265301,110.6245765,283.2256,0,14.087574817307647
abiraterone acetate,Abiraterone Acetate,"civicascript, l",1,2021,-0.0272329,-0.0272329,1140251.52,251918.0,4719,1757.0,2.067207152,111.5126886,285.6825333,0,13.946760304613163
abiraterone acetate,Abiraterone Acetate,"civicascript, l",1,2022,-0.0272329,-0.0272329,13756.51,7560.0,67,34.0,1.81964418,205.3210448,404.6032353,0,9.5293401358099
abiraterone acetate,Abiraterone Acetate,"civicascript, l",1,2023,-0.0272329,-0.0272329,120967.95,68340.0,629,125.0,1.770089991,192.3178855,967.7436,0,11.703289180078247
abiraterone acetate,Abiraterone Acetate,west-ward/hikma,1,2019,-0.480624683,-0.039302301,15366088.51,871312.0,7643,1731.0,17.63557544,2010.478675,8877.000872,0,16.54767365959124
abiraterone acetate,Abiraterone Acetate,west-ward/hikma,1,2020,-0.480624683,-0.039302301,3903999.61,1489945.0,13174,2053.0,2.620230686,296.3412487,1901.607214,0,15.177512382765109
abiraterone acetate,Abiraterone Acetate,west-ward/hikma,1,2021,-0.480624683,-0.039302301,3089709.84,1951977.0,17105,2635.0,1.582861806,180.6319696,1172.565404,0,14.943588065207088
abiraterone acetate,Abiraterone Acetate,west-ward/hikma,1,2022,-0.480624683,-0.039302301,3501028.36,2621003.0,21807,3390.0,1.335759005,160.5460797,1032.751729,0,15.068567586077018
abiraterone acetate,Abiraterone Acetate,west-ward/hikma,1,2023,-0.480624683,-0.039302301,4270570.66,3327906.0,26390,4008.0,1.283260603,161.8253376,1065.511642,0,15.267258254464059
abiraterone acetate,Abiraterone Acetate,bluepoint/oncop,1,2019,-0.047469936,-0.077685603,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,bluepoint/oncop,1,2020,-0.047469936,-0.077685603,1312670.35,306657.0,5864,2065.5,2.054265301,110.6245765,283.2256,0,14.087574817307647
abiraterone acetate,Abiraterone Acetate,bluepoint/oncop,1,2021,-0.047469936,-0.077685603,8944728.38,326848.0,2779,839.0,27.3666303,3218.685995,10661.17805,0,16.006575020694246
abiraterone acetate,Abiraterone Acetate,bluepoint/oncop,1,2022,-0.047469936,-0.077685603,26482869.57,983706.0,8539,1827.0,26.92152896,3101.401753,14495.27617,0,17.09200868836914
abiraterone acetate,Abiraterone Acetate,bluepoint/oncop,1,2023,-0.047469936,-0.077685603,37169240.15,1496942.0,13074,2845.0,24.83011376,2842.98915,13064.75928,0,17.430992126407244
abiraterone acetate,Abiraterone Acetate,major pharmaceu,1,2019,-0.221234979,-0.104129562,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,major pharmaceu,1,2021,-0.221234979,-0.104129562,19197.61,4259.0,67,38.0,4.507539329,286.5314925,505.2002632,0,9.862593159561834
abiraterone acetate,Abiraterone Acetate,major pharmaceu,1,2022,-0.221234979,-0.104129562,48852.49,11121.0,150,62.0,4.392814495,325.6832667,787.9433871,0,10.796581098112435
abiraterone acetate,Abiraterone Acetate,major pharmaceu,1,2023,-0.221234979,-0.104129562,154149.33,39170.0,466,219.0,3.935392647,330.7925537,703.8782192,0,11.945683574083981
abiraterone acetate,Abiraterone Acetate,florida pharmac,1,2019,9.749039046,9.749039046,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,florida pharmac,1,2020,9.749039046,9.749039046,1312670.35,306657.0,5864,2065.5,2.054265301,110.6245765,283.2256,0,14.087574817307647
abiraterone acetate,Abiraterone Acetate,florida pharmac,1,2021,9.749039046,9.749039046,1140251.52,251918.0,4719,1757.0,2.067207152,111.5126886,285.6825333,0,13.946760304613163
abiraterone acetate,Abiraterone Acetate,florida pharmac,1,2022,9.749039046,9.749039046,33547.73,20150.0,165,152.0,1.664899752,203.3195758,220.70875,0,10.42075428773402
abiraterone acetate,Abiraterone Acetate,northstar rx ll,1,2019,0.025553791,-0.121431895,1467647.68,362319.875,7167,2473.0,1.973184551,103.6380657,257.5315611,0,14.199172140714193
abiraterone acetate,Abiraterone Acetate,northstar rx ll,1,2020,0.025553791,-0.121431895,445297.27,17602.0,149,149.0,25.29810647,2988.572282,2988.572282,0,13.006499606280913
abiraterone acetate,Abiraterone Acetate,northstar rx ll,1,2021,0.025553791,-0.121431895,33110769.99,1386645.0,12105,2589.0,23.87833223,2735.296984,12789.01892,0,17.315369194966607
abiraterone acetate,Abiraterone Acetate,northstar rx ll,1,2022,0.025553791,-0.121431895,40450561.47,1415352.0,12829,3104.0,31.05903196,3153.056471,13031.75305,0,17.5155911066873
